sample_id,polarity,path,features,total_peaks,mean_peaks_per_feature
VGF139_E12,pos,.cache/extracted/pf1600_raw/VGF139_E12/pos/VGF139_E12_features_ms2_pos.mgf,42,1407,33.500000
VGF139_F01,neg,.cache/extracted/pf1600_raw/VGF139_F01/neg/VGF139_F01_features_ms2_neg.mgf,1079,31821,29.491196
VGF139_F01,pos,.cache/extracted/pf1600_raw/VGF139_F01/pos/VGF139_F01_features_ms2_pos.mgf,1039,52099,50.143407
VGF139_F02,neg,.cache/extracted/pf1600_raw/VGF139_F02/neg/VGF139_F02_features_ms2_neg.mgf,493,12255,24.858012
VGF139_F02,pos,.cache/extracted/pf1600_raw/VGF139_F02/pos/VGF139_F02_features_ms2_pos.mgf,557,35228,63.245961
VGF139_F03,neg,.cache/extracted/pf1600_raw/VGF139_F03/neg/VGF139_F03_features_ms2_neg.mgf,234,6708,28.666667
VGF139_F03,pos,.cache/extracted/pf1600_raw/VGF139_F03/pos/VGF139_F03_features_ms2_pos.mgf,567,30663,54.079365
VGF139_F04,neg,.cache/extracted/pf1600_raw/VGF139_F04/neg/VGF139_F04_features_ms2_neg.mgf,374,12723,34.018717
VGF139_F04,pos,.cache/extracted/pf1600_raw/VGF139_F04/pos/VGF139_F04_features_ms2_pos.mgf,486,21467,44.170782
VGF139_F05,neg,.cache/extracted/pf1600_raw/VGF139_F05/neg/VGF139_F05_features_ms2_neg.mgf,260,7811,30.042308
VGF139_F05,pos,.cache/extracted/pf1600_raw/VGF139_F05/pos/VGF139_F05_features_ms2_pos.mgf,374,16790,44.893048
VGF139_F06,neg,.cache/extracted/pf1600_raw/VGF139_F06/neg/VGF139_F06_features_ms2_neg.mgf,113,3073,27.194690
VGF139_F06,pos,.cache/extracted/pf1600_raw/VGF139_F06/pos/VGF139_F06_features_ms2_pos.mgf,233,11033,47.351931
VGF139_F07,neg,.cache/extracted/pf1600_raw/VGF139_F07/neg/VGF139_F07_features_ms2_neg.mgf,229,6544,28.576419
VGF139_F07,pos,.cache/extracted/pf1600_raw/VGF139_F07/pos/VGF139_F07_features_ms2_pos.mgf,420,20233,48.173810
VGF139_F08,neg,.cache/extracted/pf1600_raw/VGF139_F08/neg/VGF139_F08_features_ms2_neg.mgf,126,4473,35.500000
VGF139_F08,pos,.cache/extracted/pf1600_raw/VGF139_F08/pos/VGF139_F08_features_ms2_pos.mgf,209,9577,45.822967
VGF139_F09,neg,.cache/extracted/pf1600_raw/VGF139_F09/neg/VGF139_F09_features_ms2_neg.mgf,214,5382,25.149533
VGF139_F09,pos,.cache/extracted/pf1600_raw/VGF139_F09/pos/VGF139_F09_features_ms2_pos.mgf,278,14115,50.773381
VGF139_F10,neg,.cache/extracted/pf1600_raw/VGF139_F10/neg/VGF139_F10_features_ms2_neg.mgf,178,6192,34.786517
VGF139_F10,pos,.cache/extracted/pf1600_raw/VGF139_F10/pos/VGF139_F10_features_ms2_pos.mgf,218,9456,43.376147
VGF139_F11,neg,.cache/extracted/pf1600_raw/VGF139_F11/neg/VGF139_F11_features_ms2_neg.mgf,381,13617,35.740157
VGF139_F11,pos,.cache/extracted/pf1600_raw/VGF139_F11/pos/VGF139_F11_features_ms2_pos.mgf,639,30582,47.859155
VGF139_F12,neg,.cache/extracted/pf1600_raw/VGF139_F12/neg/VGF139_F12_features_ms2_neg.mgf,9,236,26.222222
VGF139_F12,pos,.cache/extracted/pf1600_raw/VGF139_F12/pos/VGF139_F12_features_ms2_pos.mgf,39,1338,34.307692
VGF139_G01,neg,.cache/extracted/pf1600_raw/VGF139_G01/neg/VGF139_G01_features_ms2_neg.mgf,1085,31992,29.485714
VGF139_G01,pos,.cache/extracted/pf1600_raw/VGF139_G01/pos/VGF139_G01_features_ms2_pos.mgf,1058,52936,50.034026
VGF139_G02,neg,.cache/extracted/pf1600_raw/VGF139_G02/neg/VGF139_G02_features_ms2_neg.mgf,330,9956,30.169697
VGF139_G02,pos,.cache/extracted/pf1600_raw/VGF139_G02/pos/VGF139_G02_features_ms2_pos.mgf,548,27487,50.158759
VGF139_G03,neg,.cache/extracted/pf1600_raw/VGF139_G03/neg/VGF139_G03_features_ms2_neg.mgf,241,6885,28.568465
VGF139_G03,pos,.cache/extracted/pf1600_raw/VGF139_G03/pos/VGF139_G03_features_ms2_pos.mgf,618,31908,51.631068
VGF139_G04,neg,.cache/extracted/pf1600_raw/VGF139_G04/neg/VGF139_G04_features_ms2_neg.mgf,258,7768,30.108527
VGF139_G04,pos,.cache/extracted/pf1600_raw/VGF139_G04/pos/VGF139_G04_features_ms2_pos.mgf,469,21142,45.078891
VGF139_G05,neg,.cache/extracted/pf1600_raw/VGF139_G05/neg/VGF139_G05_features_ms2_neg.mgf,283,8756,30.939929
VGF139_G05,pos,.cache/extracted/pf1600_raw/VGF139_G05/pos/VGF139_G05_features_ms2_pos.mgf,432,23731,54.932870
VGF139_G06,neg,.cache/extracted/pf1600_raw/VGF139_G06/neg/VGF139_G06_features_ms2_neg.mgf,247,6678,27.036437
VGF139_G06,pos,.cache/extracted/pf1600_raw/VGF139_G06/pos/VGF139_G06_features_ms2_pos.mgf,549,25654,46.728597
VGF139_G07,neg,.cache/extracted/pf1600_raw/VGF139_G07/neg/VGF139_G07_features_ms2_neg.mgf,270,7395,27.388889
VGF139_G07,pos,.cache/extracted/pf1600_raw/VGF139_G07/pos/VGF139_G07_features_ms2_pos.mgf,664,33463,50.396084
